book_id,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
60,45,115,101,11,38,22,8,495,122,33,26,57,4,5,94
62,368,480,937,25,53,18,24,19,21,23,2,126,27,682,155
63,43,171,76,10,160,42,138,230,5,471,29,83,451,58,559
64,331,908,328,1149,111,616,22,1426,57,67,81,46,1685,11,40
65,405,297,13,8,55,14,5,32,113,28,2172,3600,101,4,58
66,2302,42,311,43,10,15,270,63,76,136,148,133,75,83,265
67,11,111,46,64,81,40,57,273,38,256,186,33,22,378,150
68,557,178,425,1392,234,8,709,238,344,483,4274,121,36,8423,715
69,2283,6490,1830,1766,1200,434,600,525,2697,376,1004,5520,583,259,1008
70,492,760,838,1213,1646,126,2312,2564,442,54,7,19,276,371,1519
71,79,97,138,531,390,29,125,154,58,95,213,646,301,160,5
72,176,237,243,305,349,556,168,553,739,578,675,865,670,705,488
73,56,52,1175,49,3,187,519,1452,1,17,1032,781,1398,4233,1338
74,275,88,4559,600,1575,2456,3796,3637,7711,8844,234,224,7340,1066,5465
75,1457,136,228,78,741,42,310,186,465,22,108,306,9513,148,621
76,171,10,471,230,43,451,63,42,2136,4,83,138,66,133,29
77,263,707,2985,594,1369,853,223,1279,1020,120,356,245,577,873,59
78,228,1430,108,136,465,75,1063,310,955,777,64,156,3656,455,26
79,341,29,154,71,125,531,1280,248,58,646,772,138,116,353,714
80,4068,8946,162,323,9858,5730,635,180,8336,85,6160,8882,629,606,3398
81,46,31,57,111,64,67,273,11,40,186,754,38,195,47,256
82,236,688,316,11,104,46,398,115,87,256,100,284,4162,101,45
83,160,361,204,590,109,63,29,43,138,58,103,15,79,76,10
84,1117,660,487,693,2594,575,640,1592,3797,1564,1296,123,5343,5739,86
85,50,278,102,786,157,59,15,358,335,117,251,29,339,4862,184
86,281,227,343,833,123,596,1037,1245,963,1388,1301,1573,1057,1733,1407
87,15,138,179,85,383,4,150,306,5,81,64,57,114,33,42
88,5406,74,382,275,1575,9341,147,6680,8574,7451,3487,5636,363,1724,7104
89,54,133,102,158,5999,283,263,117,561,93,1322,337,877,62,126
90,4965,7840,425,621,59,387,386,77,93,158,37,157,2215,999,85
91,259,376,5034,166,1917,3888,69,434,5032,2697,933,12,957,8443,2283
92,127,211,398,969,193,26,1069,550,11,408,287,508,4096,65,113
93,540,42,59,133,102,497,386,85,245,43,117,158,29,63,37
94,233,8,323,14,5,115,121,65,13,436,1005,520,45,4,354
95,427,959,125,71,138,63,55,5,1135,301,177,29,154,353,160
97,71,390,205,298,63,1204,7021,301,79,1555,213,699,129,611,7
98,140,16,31,414,20,1,17,291,1481,231,195,46,40,124,256
100,1144,57,33,150,11,860,2188,115,1752,45,119,22,38,40,101
101,344,372,943,495,115,238,65,8,1923,4,5,60,121,50,534
102,85,59,157,339,278,50,391,251,545,358,364,335,158,93,661
103,413,83,109,79,1953,160,19,1204,63,760,155,161,10,361,204
104,815,1121,1319,467,65,297,4319,426,1238,45,284,191,82,516,405
106,638,1,17,31,20,144,124,421,654,208,2449,291,382,801,414
107,420,44,683,552,686,1459,622,1414,571,152,716,3119,108,308,674
108,955,1063,1436,952,411,308,1111,78,509,777,465,1107,310,3011,3610
109,778,83,103,63,43,172,42,76,8946,590,3636,80,1996,10,6772
110,135,165,39,188,1249,949,1362,722,1119,528,330,1278,1023,510,1525
111,64,46,57,67,22,81,38,11,40,616,31,150,186,331,273
113,65,13,297,14,8,55,129,405,48,28,4,121,54,5,32
114,132,784,26,44,35,9,40,64,78,11,57,15,22,46,107
115,101,378,557,11,33,495,60,38,233,344,100,516,22,212,94
116,58,1178,1622,154,138,79,125,248,29,293,102,204,361,715,335
117,1196,1530,335,3739,37,50,245,59,85,386,278,48,133,158,184
118,1714,848,3311,33,42,136,198,15,75,4057,179,43,57,148,76
119,572,883,100,3837,101,354,2561,65,13,28,33,344,233,115,55
120,1718,2054,2270,2007,1279,500,3452,77,4227,263,443,541,586,656,849
121,5,8,323,101,65,495,162,94,483,115,284,3321,344,28,178
122,2028,2192,4317,38,24,33,18,23,21,27,2,57,26,45,150
123,227,281,86,343,833,596,1037,1245,1057,963,1407,1388,1573,1301,1733
124,31,414,291,208,144,16,140,697,98,2449,654,338,638,2630,231
125,154,248,29,353,530,773,714,770,804,855,839,138,58,79,715
126,1105,1262,2045,2491,2817,70,371,54,400,276,789,633,492,442,890
127,211,193,92,969,1344,932,101,1926,398,287,2442,11,4823,40,1069
129,284,113,173,297,213,264,65,32,55,8,350,13,28,121,5
130,401,264,395,8,14,32,162,58,301,3126,3764,213,194,138,55
131,225,32,14,4,58,730,138,5,8,28,1161,13,55,83,29
132,114,784,44,107,1547,78,9,26,552,22,221,111,64,1459,571
133,1210,1112,3138,2821,3904,42,93,4698,5567,59,117,15,544,76,3580
134,153,51,183,309,434,419,202,491,384,394,254,3687,783,3326,4446
135,110,165,39,188,1249,1362,949,1119,1023,528,330,722,1278,510,1525
136,3997,75,228,78,9663,741,57,310,111,465,22,306,1457,326,625
137,463,554,712,864,1026,3780,1275,6931,3,52,49,4497,186,56,4251
138,29,125,154,58,248,387,5,63,15,160,59,43,71,28,116
139,280,363,475,5149,1177,8985,4655,3121,203,632,4364,5212,9552,5242,149
140,98,16,31,20,414,17,1,291,1481,231,124,195,825,930,2510
142,642,4682,46,67,236,16,1537,440,11,882,5743,186,26,9852,864
144,396,31,291,124,754,825,697,208,787,195,106,906,231,1316,20
145,170,9,26,44,201,3357,4040,7463,343,2354,1301,640,963,132,227
147,3888,3626,5406,88,3498,3238,1820,5320,8443,4655,632,203,3121,6853,9568
148,4842,3322,33,6299,150,57,186,136,100,75,407,1171,306,11,22
149,475,1799,1140,6263,756,4223,435,4819,7863,5017,8330,3411,280,1004,9259
150,57,33,100,186,38,111,11,306,46,40,148,273,304,22,625
151,214,159,41,175,163,370,909,1032,2019,3044,1391,314,1323,153,51
152,1459,571,683,622,716,552,1414,686,420,3119,107,674,44,169,286
153,51,134,183,309,434,202,224,254,319,3326,2662,4446,3862,394,3336
154,125,248,29,353,770,714,530,773,804,855,839,138,79,387,58
155,161,19,7,611,189,219,126,18,27,23,24,2,37,21,641
156,455,647,694,310,1107,411,1072,1430,1417,908,78,955,777,1111,465
157,251,798,364,358,391,1348,3274,3047,339,296,59,102,545,278,5446
158,335,416,1938,373,184,1258,2741,2620,59,1662,7266,2123,50,102,157
159,214,151,175,41,163,370,909,2019,1032,3044,1456,1323,5504,6792,2619
160,83,204,361,63,590,29,138,58,125,43,1477,154,248,171,4
161,155,19,7,611,18,24,219,189,23,27,2,126,21,37,641
162,872,2024,213,1624,3342,614,323,121,180,14,65,8,80,130,177
163,370,909,175,214,151,159,41,1608,4644,4036,6985,5452,9075,6647,9615
165,135,110,39,188,1249,949,1362,1119,1023,330,528,722,1278,510,1525
166,182,1608,340,91,12,1244,655,945,3626,600,224,434,583,183,9075
167,666,322,283,766,377,1572,1895,2353,2170,2674,442,2937,3395,3086,3660
168,176,349,72,243,553,612,232,725,305,1261,806,556,237,670,675
169,286,302,152,716,4218,1841,7165,9262,2858,907,5445,3067,6721,692,831
170,145,9,26,963,8199,3533,1037,1301,9628,640,6975,575,1407,343,2400
171,76,471,10,230,451,43,63,42,4,160,29,899,5,2136,961
172,498,177,485,121,10,43,94,1041,323,961,171,233,63,590,1073
173,129,499,350,13,284,121,113,213,65,196,55,180,576,162,1571
174,31,1670,9176,9185,692,1097,4715,1841,64,329,299,1052,67,199,231
175,159,214,151,41,163,370,909,134,2019,153,51,685,1032,254,8780
176,305,168,243,72,556,553,349,237,675,739,578,915,1139,670,944
177,485,1041,172,498,1364,121,162,301,13,614,58,323,113,213,55
178,121,782,557,162,65,68,8,2921,129,238,55,560,119,323,28
179,2252,3966,33,150,306,304,118,87,136,11,15,67,148,238,100
180,1015,2097,4634,3085,162,284,213,301,80,1099,323,489,8,129,177
181,121,664,115,264,217,4,5,284,8,212,178,941,557,688,131
182,3445,166,1147,4076,1850,1302,7067,9056,6743,415,254,5032,224,3271,1251
183,309,134,153,434,351,51,319,460,202,655,525,583,759,254,166
184,416,373,335,158,1258,2741,2620,1938,1662,7266,2123,5311,117,36,85
185,7708,2005,6199,3462,7975,2207,1177,5242,1008,6847,475,8190,4405,5642,5288
186,1501,1537,700,2710,46,150,57,81,33,111,64,22,273,228,11
187,519,781,1398,73,6733,1175,9241,927,1452,9079,314,2122,8526,7152,1745
188,165,135,110,3697,2828,39,7358,1230,7035,7038,8135,1346,5428,8754,6074
189,7,155,19,611,161,219,126,54,70,37,289,13,58,229,1262
191,365,568,2760,766,735,4064,1199,6568,1895,532,2111,1886,1572,5331,167
192,307,565,746,603,1049,389,1479,1230,1665,6074,7035,1346,2828,917,5838
193,211,1344,127,1069,92,969,7759,6485,7950,985,3222,8929,8174,2764,1683
194,1214,130,79,9995,959,9732,177,395,58,83,341,172,71,121,597
195,31,47,231,396,1833,930,16,256,81,414,17,1,1011,216,20
196,951,854,1389,484,1124,4369,1236,1645,297,65,173,2806,499,350,13
197,527,563,558,631,652,624,724,748,871,1201,3611,2430,52,56,7267
198,354,763,317,118,2508,468,1642,8080,5629,6389,136,59,3237,15,8039
199,111,186,46,40,64,67,228,329,81,331,3,216,31,381,22
200,672,2235,1741,1410,5861,4240,6512,7208,5858,4728,5665,1058,7748,5505,6211
201,9,56,31,16,145,98,195,52,17,20,49,2822,1361,3,174
202,434,600,224,583,254,134,957,543,183,51,384,8780,2038,69,419
203,3121,632,4655,517,4821,1799,1140,2878,363,756,280,435,3238,711,149
204,361,160,590,83,154,364,125,1477,116,248,138,819,646,353,8207
205,696,898,1533,1633,1993,2347,1217,2604,3128,3477,6665,4579,3340,4251,5290
207,912,996,1067,1151,1181,1226,1232,1267,1627,1390,1606,1694,1821,1811,4895
208,291,124,414,31,421,144,2742,754,98,638,140,930,2831,338,195
209,1802,431,4422,739,266,696,1075,2023,9212,7485,3940,488,7616,670,84
210,394,384,419,418,543,2662,3336,3687,3326,1696,3176,224,491,4446,3445
211,127,193,92,1344,969,985,398,1069,550,2465,2295,82,101,2442,7794
212,2013,3141,2029,3412,115,268,941,658,2107,38,45,1544,22,378,354
213,614,162,301,125,14,341,180,4622,129,154,130,121,177,79,71
214,151,159,175,41,163,370,909,2019,1323,3044,1032,1456,153,2619,134
215,6152,9077,845,6565,2500,8352,4911,3220,3697,5976,6767,5641,5895,1660,9741
216,31,231,195,16,414,291,1316,124,46,98,199,396,111,40,930
217,3788,115,181,688,46,407,426,516,45,236,948,238,101,495,33
219,362,155,19,7,37,161,117,493,189,1106,59,93,157,25,347
221,1897,3831,107,5493,1459,132,420,5953,4404,9033,4936,6393,4525,7839,9536
222,588,1963,9852,2789,1972,3357,2730,288,3925,86,4294,7521,3709,1301,4342
223,918,1137,1172,1397,1764,5444,356,873,2007,263,1225,314,1033,1163,1289
224,600,202,394,210,434,384,945,419,2662,3336,3687,3445,9355,3326,418
225,131,32,3387,1161,2004,3079,730,4,33,100,5,172,58,13,8
226,244,8884,7601,7340,9907,3812,3745,3730,2373,1814,3741,9300,1911,3293,5646
227,281,343,123,833,86,596,1037,1245,963,1388,1057,1407,1301,1573,1733
228,78,75,136,310,64,465,186,57,1107,108,455,22,741,156,1457
229,102,154,518,444,37,93,251,80,387,116,95,1186,58,390,59
230,471,76,451,171,10,63,43,1477,961,2136,42,1783,4870,2499,899
231,31,195,396,16,414,825,216,98,291,111,140,81,331,1640,273
232,612,725,806,936,953,1053,1261,168,1248,1498,176,349,703,553,915
233,94,115,354,5,378,121,8,436,323,45,33,662,119,1005,916
234,3919,2072,2148,1244,3160,1604,927,4114,74,3888,1789,443,4393,1324,8734
236,82,688,4162,316,217,1514,142,6251,398,92,1734,325,11,2650,453
237,305,556,243,349,72,578,675,176,553,705,670,865,1075,967,168
238,1102,1856,2233,101,372,344,306,383,495,115,6500,22,33,304,1083
239,1056,191,502,6196,5591,735,4325,568,3809,9290,7026,633,7186,5773,5563
241,36,245,386,184,856,594,808,335,1290,77,857,2625,117,373,416
242,266,2184,2214,2012,2398,336,2547,3223,2737,3066,1858,1379,2519,2746,1763
243,305,176,556,237,72,578,675,168,705,553,670,1139,967,739,1075
244,226,7601,3745,7340,8884,8411,791,9170,3812,1911,3730,2598,8780,3293,2373
245,577,241,117,321,386,793,59,335,93,184,77,37,102,416,36
246,449,643,491,783,805,1093,814,4446,3862,419,384,210,394,3326,3176
247,5610,5873,9347,7739,4397,3542,3413,9236,6398,4702,4904,582,2442,2327,4823
248,530,154,125,773,353,29,855,804,714,839,770,3700,1885,3948,138
249,587,115,867,1238,495,3092,467,60,1005,101,38,268,344,557,372
251,157,798,364,358,1348,391,3274,3047,5446,339,7611,296,59,6334,102
254,957,434,202,415,5815,355,1850,134,182,583,51,933,153,1585,3218
255,287,903,4298,172,55,225,8688,546,171,83,113,1516,129,131,485
256,40,67,195,31,81,16,47,273,7001,98,111,11,231,46,414
257,1486,8946,1996,4260,7485,9606,346,4242,8965,1253,9858,361,798,157,6732
258,1467,38,407,98,414,46,16,417,291,195,31,457,47,2738,1300
259,91,376,69,583,2697,5034,434,8443,2283,525,12,957,4393,5224,166
260,3009,2318,9762,582,6398,8454,3008,3423,9076,7866,2327,3542,2548,5815,4411
261,8659,9557,136,3579,9835,2015,8478,6824,5471,5590,3997,8136,741,844,5863
263,2642,77,2007,223,4311,314,3132,356,1968,3790,3830,1452,1137,707,817
264,401,395,130,1031,301,284,718,887,5,8,121,354,129,959,1135
265,43,270,57,136,66,42,150,133,186,33,38,148,15,179,228
266,242,2184,2012,2214,2398,2737,2547,336,2519,3066,3223,2746,1858,1746,1763
268,820,212,6364,115,1005,8716,467,520,867,587,658,2107,516,249,1544
269,1468,3503,777,952,955,3610,1063,1436,108,411,78,1655,3011,5427,156
270,66,6278,43,6916,265,311,63,133,6772,109,93,42,8946,778,4068
271,59,15,375,102,278,444,386,85,715,321,158,387,621,289,157
272,75,669,43,925,118,136,1457,57,741,306,8276,354,148,233,733
273,81,3007,46,825,111,67,186,57,31,150,40,256,1051,195,231
274,6259,7293,8150,1085,1793,8863,989,6856,1910,1409,8422,6660,580,9194,8338
275,74,3888,88,1575,382,3944,7420,9471,7711,9003,1669,1066,8004,3238,6434
276,789,890,2646,2196,2624,432,1914,3754,3978,3072,1223,5055,2755,5782,126
278,50,786,85,102,157,4862,59,335,251,339,117,358,158,15,321
280,435,525,12,3121,632,203,4655,351,759,517,1276,139,8330,685,1302
281,227,86,123,343,833,596,1245,1037,963,1388,1057,1573,1407,1301,1733
282,322,377,2170,312,666,2674,283,3086,167,3396,2937,3082,766,2353,3660
283,322,167,1924,666,377,1342,1343,1368,894,2554,1337,429,2170,2043,2086
284,1250,129,350,121,2328,264,180,483,8,55,959,1329,173,162,5
286,716,302,169,1414,622,1459,152,831,686,9262,7165,571,683,552,7388
287,255,903,4298,55,8,4,32,13,7,121,65,113,28,5,35
288,628,1643,785,2242,2730,2666,2859,1972,5655,2673,5144,8984,5876,2789,588
289,117,189,28,7,131,271,14,58,155,126,375,161,545,37,48
290,8914,5255,9637,924,1030,6485,6471,3682,801,3261,3946,7239,3433,8405,4013
291,414,31,930,124,208,140,421,396,98,231,16,754,144,1557,825
292,602,641,542,347,332,37,493,3795,362,1937,161,155,1106,5463,4534
293,2361,390,478,116,935,1207,639,375,444,1120,3440,58,5382,497,1073
296,157,339,251,364,844,876,798,728,1229,661,627,358,6395,549,3274
297,405,65,2172,3202,1676,1704,1074,3600,2098,2552,3068,5330,4517,3133,7338
298,1204,547,1555,699,1191,71,390,8071,1019,2158,972,97,2763,3440,375
299,2928,1241,2694,7566,4596,9185,1097,8072,648,9001,1670,6360,5520,174,3148
300,9475,6647,7167,3153,3796,8844,4920,8331,7520,47,3742,9654,8997,3757,6766
301,718,264,58,1135,959,125,736,213,177,1214,354,162,79,130,576
302,286,169,9262,7165,6387,7617,1599,716,8228,1459,9568,4846,7223,1414,4088
303,3658,7818,1992,4252,5898,7500,4501,7485,2082,4068,7839,8946,3787,847,3196
304,306,326,2000,33,150,383,11,186,238,64,115,111,1145,81,179
305,556,243,176,237,578,349,675,705,553,72,670,1139,739,865,967
306,304,326,33,22,238,57,150,111,11,186,136,381,38,40,75
307,192,6074,988,565,960,1230,562,1346,917,603,7035,5428,8135,1665,2828
308,411,955,1063,108,952,1436,509,761,1111,5305,3034,3610,2075,2581,777
309,183,319,134,153,51,434,460,583,4562,351,202,1637,957,1754,945
310,465,1107,1748,4431,2589,228,156,108,777,3016,78,1430,64,455,136
311,66,7485,5573,148,734,9473,1961,270,1581,8946,3410,2302,7775,4068,1435
312,282,1244,1745,666,4492,5199,4454,2064,2674,41,5923,9003,322,1,17
314,1391,2007,1726,2195,486,6813,53,41,1279,1975,1476,1827,594,263,223
315,4260,8946,7485,9473,4068,9858,1996,573,3009,1663,1684,6772,2716,3398,1507
316,1460,1976,374,1449,2279,2321,2250,9295,82,4079,236,688,217,758,1888
317,6057,198,354,763,468,3505,118,3872,3237,7946,179,410,15,546,55
319,460,583,309,351,7671,9073,183,6721,957,434,655,6631,4343,7201,134
321,59,245,102,278,85,157,93,50,386,117,335,29,138,375,251
322,167,666,377,283,2170,282,2674,766,1572,2353,1895,3086,2937,3660,3055
323,2926,121,94,3913,162,5374,4531,5792,7810,1544,80,233,520,8,560
325,476,704,1936,2089,4130,6322,354,407,119,4392,101,426,100,8735,45
326,306,304,136,1311,22,75,383,381,186,81,111,9300,5385,33,238
328,331,908,1426,616,1685,2433,1101,1149,64,1052,1842,2883,2633,2991,4427
329,195,40,31,199,5845,256,3905,81,174,46,216,716,7849,47,1655
330,510,528,722,1023,949,1119,1249,1362,1525,1278,2056,1536,481,1638,960
331,328,616,1149,908,64,1426,1685,2433,1101,1052,2633,1842,2883,465,4427
332,542,292,602,641,347,37,362,493,3795,356,263,1937,386,873,223
333,1670,8917,31,81,1640,1814,5617,3905,5142,396,231,195,1661,6546,144
335,158,373,416,184,1258,1938,2741,2620,1662,59,7266,117,50,278,85
336,1379,1858,1763,2261,2398,2012,242,2184,2214,3223,2547,3098,266,2737,2746
337,1042,1727,599,1014,5072,1332,54,155,191,161,751,70,13,2170,14
338,421,31,124,414,1,291,8525,20,17,208,16,2630,144,7201,3195
339,157,251,296,102,364,545,59,278,798,358,85,1984,876,661,844
340,1008,8190,69,655,166,583,434,4819,1177,351,183,202,2283,525,1302
341,79,1280,154,125,248,646,479,213,29,531,301,2366,772,977,984
343,596,1037,227,1245,833,281,1057,963,1407,86,1388,1301,123,1733,1573
344,101,372,943,1923,495,238,115,534,8,121,65,50,1102,405,2615
345,53,447,314,25,8832,223,5469,1726,1391,24,21,27,7078,8526,19
346,7737,9532,602,2078,37,257,8597,650,5822,347,444,1486,826,6645,4883
347,602,292,542,641,332,37,362,493,1937,3795,161,219,873,155,223
349,556,305,675,865,237,176,553,72,168,1208,705,1139,670,739,1248
350,1955,5122,2703,1571,284,1570,162,173,8167,129,1797,405,1250,1704,1444
351,460,525,655,319,183,945,1004,5520,1667,5262,280,667,363,3181,309
353,248,154,714,125,530,855,773,770,804,839,29,1885,3700,7074,3948
354,763,2508,1642,198,6389,468,233,119,6934,94,5629,100,115,436,5
355,933,254,4819,4559,3718,1244,2725,3723,340,91,5032,4200,5539,4036,5212
356,873,1033,1163,1225,1289,1233,1549,1827,1476,1774,1975,1977,223,8626,6813
357,213,1518,8428,138,301,1526,48,595,479,9544,5389,4504,125,113,5804
358,251,157,798,364,1348,391,3274,3047,545,5265,5446,4877,6334,7611,85
360,974,1620,5326,1800,4326,400,4515,126,276,1868,7092,4078,4859,3820,442
361,590,204,160,83,6190,1477,778,116,9858,3715,8946,639,1178,3658,699
362,493,1106,1937,3795,2957,641,2794,219,347,2781,292,5229,542,2860,3061
363,1004,6434,4655,3121,632,203,4364,5212,995,535,9013,517,351,3487,525
364,798,251,157,1348,391,3047,358,3274,6334,4877,2095,5446,545,7611,339
365,2760,191,735,4064,568,6568,532,2514,2111,2678,1623,9238,1199,766,2143
366,2174,687,1333,4971,870,3788,7738,6471,9902,6295,2790,3104,7849,3572,2175
367,2009,1709,4124,3065,1578,4713,4387,3513,1922,5775,2735,2657,5558,3175,3374
368,480,62,937,9152,682,25,21,18,19,7655,24,27,1196,23,155
369,4145,1445,1175,4166,6765,853,594,2007,6813,7246,5440,486,1391,1616,77
370,163,909,175,2756,2531,2891,2427,2909,3060,214,2477,159,151,2200,2391
371,1179,633,126,4034,6318,5141,4175,400,7904,276,1105,2045,442,70,1262
372,344,101,943,1923,534,238,495,2615,2579,1102,115,398,65,306,60
373,416,184,335,158,1258,2741,2620,7266,1662,1938,2123,5311,8857,8192,7103
374,316,1460,1976,1449,2321,2279,4079,2250,408,439,92,4735,9295,6065,5809
375,935,59,271,497,321,116,293,819,402,444,102,545,341,15,715
376,259,2283,91,583,69,6490,7419,434,1830,1766,1200,12,7020,2697,543
377,322,666,2170,167,283,2674,282,1572,7906,766,1895,3660,3395,2353,2937
378,662,1310,115,11,33,233,67,436,1005,45,150,38,57,1928,867
379,5759,1147,1819,978,6534,7067,9056,4518,4589,4401,4666,8985,2294,4693,6950
380,430,520,1915,1703,1270,1205,1500,3540,1282,3828,4388,1613,5983,323,9172
381,1311,1762,3284,625,2603,6806,8731,1317,306,847,4639,777,44,1675,1649
382,88,4223,275,6434,4541,5017,7863,363,8370,5262,9003,4934,1738,9627,5895
383,2379,238,64,111,304,22,11,81,306,186,67,465,326,46,57
384,394,419,210,418,543,491,3687,4446,3326,3862,224,2662,981,3336,1696
386,59,117,621,241,793,93,245,157,158,1038,1825,335,416,4567,102
387,715,154,138,248,1186,29,125,2240,456,59,3364,15,90,427,353
388,6755,5455,2475,2240,857,36,999,853,77,4868,296,1431,59,386,707
389,565,603,1049,1665,562,960,1525,1023,722,2056,949,859,1119,510,1362
390,71,293,478,298,97,2468,116,8733,2732,3344,402,1878,9698,3684,154
391,798,157,251,364,1348,3274,2095,358,3047,5446,102,4877,5303,545,59
392,1043,1166,1194,9708,7626,8610,9704,9307,7361,7712,9568,5205,5353,8734,9940
394,384,210,419,418,543,2662,3336,3687,3326,1696,3176,224,3445,491,4446
395,401,264,130,3764,3126,1031,129,177,718,887,341,194,113,1135,614
396,31,825,231,195,1587,3038,482,291,414,144,613,754,6546,5142,47
397,9215,6856,4826,6017,9033,4291,7795,6840,4231,3406,7422,8940,3412,4602,5953
398,508,550,101,372,92,344,495,238,570,688,82,127,115,211,236
399,5815,1286,5962,7470,8592,2308,9615,9571,5067,5960,7585,8871,3487,3439,2195
400,3006,3884,5630,2616,3573,5591,7603,1519,442,1142,126,7003,3314,360,7026
401,264,395,130,3764,1031,3126,959,301,718,887,7251,5704,177,1214,95
402,2365,2468,1706,3101,7037,824,6385,792,935,646,138,79,8906,375,9114
403,2474,479,6781,9014,4702,4904,9275,9780,6653,3923,4054,1099,9700,9478,1687
405,65,297,2172,3133,3600,3202,1676,4517,2098,3068,5330,1704,2552,1074,7338
406,3010,1756,6404,8236,7607,4201,5413,2901,8096,5387,4730,9494,2566,5115,8156
407,4237,4363,3456,3588,2679,46,867,148,57,38,115,100,325,136,45
408,1969,5765,663,374,92,550,13,8276,439,180,410,8396,969,398,400
409,5615,7572,9639,2096,136,2753,8965,8774,9885,6853,6785,515,339,59,545
410,354,763,1642,468,736,436,28,2508,782,5,1005,94,13,4,765
411,308,955,1063,952,1436,108,509,3034,761,5305,3656,156,1111,5427,455
412,6545,5683,8027,5845,4890,8217,7768,1760,2696,2438,1251,582,9994,9220,2844
413,1953,103,6842,1434,778,706,650,160,699,1178,1605,293,6630,9571,7712
414,31,291,16,98,124,140,930,231,396,1640,195,825,208,9715,216
415,1830,3486,1850,1147,254,3218,2130,1861,6743,1251,9259,418,51,1560,182
416,373,184,158,1258,335,1938,2620,2741,1662,7266,2123,8192,5311,8857,7103
417,47,31,195,46,901,56,457,613,2824,258,38,3,111,52,57
418,419,384,394,210,543,6743,1830,4446,3862,3445,5017,7863,3627,3075,1901
